account_id,type,value,account_display_name,category,fan_range
123573917680246,total_engagement,5149833,บ้านและสวน Baanlaesuan.com,Home Decoration,1M-9M
123573917680246,reaction,3602521,บ้านและสวน Baanlaesuan.com,Home Decoration,1M-9M
123573917680246,share,1321748,บ้านและสวน Baanlaesuan.com,Home Decoration,1M-9M
123573917680246,comment,134389,บ้านและสวน Baanlaesuan.com,Home Decoration,1M-9M
123573917680246,tag_friend,88474,บ้านและสวน Baanlaesuan.com,Home Decoration,1M-9M
123573917680246,purchase_intention,2701,บ้านและสวน Baanlaesuan.com,Home Decoration,1M-9M
1239035602861668,total_engagement,630856,ชะนีพีชชี่ & สตีเฟ่นโอปป้า,Blogger/Influencer,300K-500K
1239035602861668,reaction,611847,ชะนีพีชชี่ & สตีเฟ่นโอปป้า,Blogger/Influencer,300K-500K
1239035602861668,share,12300,ชะนีพีชชี่ & สตีเฟ่นโอปป้า,Blogger/Influencer,300K-500K
1239035602861668,comment,5856,ชะนีพีชชี่ & สตีเฟ่นโอปป้า,Blogger/Influencer,300K-500K
1239035602861668,tag_friend,761,ชะนีพีชชี่ & สตีเฟ่นโอปป้า,Blogger/Influencer,300K-500K
1239035602861668,purchase_intention,92,ชะนีพีชชี่ & สตีเฟ่นโอปป้า,Blogger/Influencer,300K-500K
124119624290034,total_engagement,93159,theTripPacker,Travel,1M-9M
124119624290034,reaction,81568,theTripPacker,Travel,1M-9M
124119624290034,share,7699,theTripPacker,Travel,1M-9M
124119624290034,comment,2354,theTripPacker,Travel,1M-9M
124119624290034,tag_friend,1349,theTripPacker,Travel,1M-9M
124119624290034,purchase_intention,189,theTripPacker,Travel,1M-9M
1241962762586227,total_engagement,363388,รีวิวไม่จำกัด,Blogger/Influencer,300K-500K
1241962762586227,reaction,239270,รีวิวไม่จำกัด,Blogger/Influencer,300K-500K
1241962762586227,share,87301,รีวิวไม่จำกัด,Blogger/Influencer,300K-500K
1241962762586227,comment,20799,รีวิวไม่จำกัด,Blogger/Influencer,300K-500K
1241962762586227,tag_friend,15114,รีวิวไม่จำกัด,Blogger/Influencer,300K-500K
1241962762586227,purchase_intention,904,รีวิวไม่จำกัด,Blogger/Influencer,300K-500K
125193917601376,total_engagement,3705756,ไปให้ถึง100ล้าน,Finance & Business,500K-1M
125193917601376,reaction,2330501,ไปให้ถึง100ล้าน,Finance & Business,500K-1M
125193917601376,share,1267107,ไปให้ถึง100ล้าน,Finance & Business,500K-1M
125193917601376,comment,66826,ไปให้ถึง100ล้าน,Finance & Business,500K-1M
125193917601376,tag_friend,40147,ไปให้ถึง100ล้าน,Finance & Business,500K-1M
125193917601376,purchase_intention,1175,ไปให้ถึง100ล้าน,Finance & Business,500K-1M
125837970785202,total_engagement,2687455,DroidSans,Media/News Company,300K-500K
125837970785202,reaction,2233234,DroidSans,Media/News Company,300K-500K
125837970785202,share,260891,DroidSans,Media/News Company,300K-500K
125837970785202,comment,138319,DroidSans,Media/News Company,300K-500K
125837970785202,tag_friend,49311,DroidSans,Media/News Company,300K-500K
125837970785202,purchase_intention,5700,DroidSans,Media/News Company,300K-500K
127711027317949,total_engagement,5838659,สุดสัปดาห์แฟนคลับ,Media/News Company,1M-9M
127711027317949,reaction,5323489,สุดสัปดาห์แฟนคลับ,Media/News Company,1M-9M
127711027317949,share,377658,สุดสัปดาห์แฟนคลับ,Media/News Company,1M-9M
127711027317949,comment,99887,สุดสัปดาห์แฟนคลับ,Media/News Company,1M-9M
127711027317949,tag_friend,36181,สุดสัปดาห์แฟนคลับ,Media/News Company,1M-9M
127711027317949,purchase_intention,1444,สุดสัปดาห์แฟนคลับ,Media/News Company,1M-9M
1280445142063956,total_engagement,19901000,Edward10516 : เอ็ดเวิร์ด,Pet,300K-500K
1280445142063956,reaction,18919364,Edward10516 : เอ็ดเวิร์ด,Pet,300K-500K
1280445142063956,share,577790,Edward10516 : เอ็ดเวิร์ด,Pet,300K-500K
1280445142063956,comment,306819,Edward10516 : เอ็ดเวิร์ด,Pet,300K-500K
1280445142063956,tag_friend,94228,Edward10516 : เอ็ดเวิร์ด,Pet,300K-500K
1280445142063956,purchase_intention,2799,Edward10516 : เอ็ดเวิร์ด,Pet,300K-500K
1288604781196223,total_engagement,2235839,เมริรีวิว,Blogger/Influencer,300K-500K
1288604781196223,reaction,1387263,เมริรีวิว,Blogger/Influencer,300K-500K
1288604781196223,share,654565,เมริรีวิว,Blogger/Influencer,300K-500K
1288604781196223,comment,118254,เมริรีวิว,Blogger/Influencer,300K-500K
1288604781196223,tag_friend,72144,เมริรีวิว,Blogger/Influencer,300K-500K
1288604781196223,purchase_intention,3613,เมริรีวิว,Blogger/Influencer,300K-500K
1297219836967375,total_engagement,24346308,สอดอStyle,Blogger/Influencer,1M-9M
1297219836967375,reaction,23318675,สอดอStyle,Blogger/Influencer,1M-9M
1297219836967375,share,544155,สอดอStyle,Blogger/Influencer,1M-9M
1297219836967375,comment,418428,สอดอStyle,Blogger/Influencer,1M-9M
1297219836967375,tag_friend,60851,สอดอStyle,Blogger/Influencer,1M-9M
1297219836967375,purchase_intention,4199,สอดอStyle,Blogger/Influencer,1M-9M
